MAKE,PRICE,YEAR,KILOMETER,FUEL TYPE,TRANSMISSION,COLOR,OWNER,SELLER TYPE,ENGINE,MAX POWER,MAX TORQUE,DRIVETRAIN,LENGTH,WIDTH,HEIGHT,SEATING CAPACITY,FUEL TANK CAPACITY
Maruti Suzuki,370000,2019,47377,CNG,Manual,Grey,First,Individual,998.0,58.0,78.0,FWD,3545.0,1490.0,1475.0,4.0,60.0
Maruti Suzuki,325000,2013,23086,Petrol,Manual,Grey,First,Individual,1197.0,85.0,113.0,FWD,3775.0,1680.0,1620.0,5.0,43.0
Hyundai,1175000,2019,36313,Petrol,Manual,Grey,First,Individual,1591.0,122.0,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Honda,351000,2014,39276,Petrol,Manual,Red,First,Individual,1198.0,87.0,109.0,FWD,3610.0,1680.0,1500.0,5.0,35.0
Hyundai,551000,2015,47752,Petrol,Manual,White,First,Individual,1197.0,82.0,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Honda,819999,2018,27963,Petrol,Manual,White,First,Individual,1199.0,89.0,110.0,FWD,3999.0,1734.0,1601.0,5.0,40.0
Hyundai,990000,2020,24013,Petrol,Manual,Blue,First,Individual,998.0,118.0,172.0,FWD,3995.0,1770.0,1605.0,5.0,45.0
Hyundai,925000,2016,66000,Diesel,Automatic,Black,First,Individual,1582.0,126.0,265.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Ford,535000,2015,28000,Petrol,Manual,Silver,First,Individual,999.0,124.0,170.0,FWD,3999.0,1765.0,1708.0,5.0,52.0
Hyundai,145000,2009,72000,CNG,Manual,Silver,Second,Individual,1086.0,62.0,96.0,FWD,3565.0,1525.0,1590.0,5.0,35.0
Tata,409000,2018,27069,Petrol,Manual,White,First,Individual,1199.0,84.0,114.0,FWD,3746.0,1647.0,1535.0,5.0,35.0
Tata,490000,2018,43000,Diesel,Manual,White,First,Individual,1047.0,69.0,140.0,FWD,3992.0,1677.0,1537.0,5.0,35.0
Toyota,1900000,2019,71000,Diesel,Manual,Bronze,First,Individual,2393.0,148.0,343.0,RWD,4735.0,1830.0,1795.0,8.0,55.0
Mercedes-Benz,3850000,2017,45600,Diesel,Automatic,Black,Second,Individual,2143.0,168.0,400.0,AWD,4656.0,1890.0,1639.0,5.0,66.0
Hyundai,1125000,2018,60000,Diesel,Manual,White,First,Individual,1582.0,126.0,260.0,FWD,4270.0,1780.0,1665.0,5.0,55.0
Mercedes-Benz,2300000,2014,105101,Diesel,Automatic,White,First,Individual,2143.0,203.0,500.0,AWD,4804.0,2141.0,1796.0,5.0,70.0
Toyota,1095000,2016,45000,Petrol,Automatic,Black,First,Individual,1798.0,138.0,173.0,FWD,4620.0,1775.0,1475.0,5.0,55.0
Audi,1575000,2013,66000,Diesel,Automatic,White,First,Individual,1968.0,177.0,380.0,FWD,4701.0,1826.0,1427.0,5.0,63.0
Hyundai,525000,2015,68397,Petrol,Manual,Gold,First,Individual,1197.0,82.0,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Mahindra,625000,2015,65000,Diesel,Manual,White,Second,Individual,2498.0,105.0,247.0,AWD,3920.0,1726.0,1930.0,6.0,60.0
Maruti Suzuki,605000,2019,27469,Petrol,Manual,Silver,First,Individual,1197.0,83.0,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0
Maruti Suzuki,412000,2016,41058,Petrol,Automatic,Silver,First,Individual,998.0,67.0,90.0,FWD,3600.0,1600.0,1560.0,5.0,35.0
Maruti Suzuki,625000,2016,51330,Diesel,Manual,Brown,First,Individual,1248.0,89.0,200.0,FWD,4490.0,1730.0,1485.0,5.0,43.0
Maruti Suzuki,511000,2015,45969,Petrol,Manual,Silver,First,Individual,1373.0,91.0,130.0,FWD,4490.0,1730.0,1485.0,5.0,43.0
Hyundai,1150000,2017,66602,Diesel,Automatic,Grey,First,Individual,1582.0,126.0,265.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Hyundai,885000,2016,57983,Petrol,Manual,White,First,Individual,1591.0,122.0,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Renault,470000,2019,11183,Petrol,Automatic,Silver,First,Individual,999.0,67.0,91.0,FWD,3679.0,1579.0,1478.0,5.0,28.0
MG,1611000,2019,46301,Diesel,Manual,White,First,Individual,1956.0,169.0,350.0,FWD,4655.0,1835.0,1760.0,5.0,60.0
Tata,475000,2017,34867,Petrol,Automatic,Silver,Second,Individual,1199.0,84.0,114.0,FWD,3746.0,1647.0,1535.0,5.0,35.0
Toyota,865000,2015,43634,Diesel,Manual,Silver,First,Individual,2494.0,101.0,200.0,RWD,4585.0,1765.0,1760.0,7.0,55.0
BMW,3800000,2018,9512,Diesel,Automatic,Blue,First,Corporate,1995.0,190.0,400.0,AWD,4657.0,1881.0,1678.0,5.0,67.0
Jeep,2475000,2020,11293,Diesel,Automatic,White,First,Individual,1956.0,171.0,350.0,AWD,4395.0,1818.0,1640.0,5.0,60.0
Mahindra,400000,2014,78000,Diesel,Manual,White,Second,Individual,2179.0,120.0,290.0,RWD,4430.0,1817.0,1975.0,8.0,60.0
Honda,440000,2016,50374,Petrol,Manual,White,First,Individual,1198.0,87.0,109.0,FWD,3610.0,1680.0,1500.0,5.0,35.0
BMW,2800000,2017,15900,Petrol,Automatic,White,First,Individual,1998.0,181.0,270.0,RWD,4633.0,1811.0,1429.0,5.0,57.0
Honda,645000,2017,64000,Petrol,Manual,White,First,Individual,1497.0,117.0,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
Volkswagen,365000,2013,78000,Diesel,Manual,Silver,First,Individual,1199.0,74.0,180.0,FWD,3970.0,1682.0,1453.0,5.0,45.0
Maruti Suzuki,1044999,2021,24000,Petrol,Manual,Silver,First,Individual,1462.0,103.0,138.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,515000,2019,40310,Petrol,Manual,Grey,Second,Individual,1196.0,73.0,101.0,RWD,3675.0,1475.0,1800.0,7.0,40.0
Hyundai,455000,2015,69700,Petrol,Automatic,Blue,First,Individual,1197.0,79.0,112.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
BMW,1800000,2012,74073,Diesel,Automatic,Black,First,Individual,1995.0,184.0,380.0,AWD,4648.0,1881.0,1661.0,5.0,67.0
Toyota,3499000,2019,73000,Diesel,Automatic,White,First,Individual,2755.0,174.0,450.0,RWD,4795.0,1855.0,1835.0,7.0,80.0
Honda,190000,2006,130000,Petrol,Manual,Maroon,Third,Individual,1799.0,130.0,171.62,FWD,4545.0,1750.0,1450.0,5.0,50.0
Maruti Suzuki,775000,2021,24000,Petrol,Automatic,Grey,First,Individual,1197.0,89.0,113.0,FWD,3845.0,1735.0,1530.0,5.0,37.0
Hyundai,825000,2021,43000,Diesel,Manual,White,First,Individual,1493.0,99.0,240.0,FWD,3995.0,1775.0,1505.0,5.0,37.0
Audi,2250000,2016,40500,Diesel,Automatic,White,First,Individual,1968.0,141.0,320.0,FWD,4456.0,1796.0,1416.0,5.0,50.0
Honda,865000,2017,49013,Petrol,Automatic,Grey,First,Individual,1497.0,117.0,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
Ford,299000,2013,64983,Diesel,Manual,Red,First,Individual,1399.0,68.0,160.0,FWD,3795.0,1680.0,1427.0,5.0,45.0
Honda,570000,2017,92270,Petrol,Manual,Brown,First,Individual,1199.0,89.0,110.0,FWD,3955.0,1694.0,1544.0,5.0,40.0
Volkswagen,385000,2013,65000,Petrol,Manual,White,First,Individual,1198.0,74.0,110.0,FWD,3970.0,1682.0,1453.0,5.0,45.0
Honda,350000,2014,110000,Diesel,Manual,Black,First,Individual,1498.0,99.0,200.0,FWD,3990.0,1680.0,1505.0,5.0,35.0
Toyota,2345000,2017,47000,Petrol,Automatic,Brown,First,Individual,2494.0,179.0,233.0,FWD,4825.0,1825.0,1480.0,5.0,70.0
Mahindra,1650000,2022,10000,Petrol,Automatic,Black,First,Individual,1997.0,150.0,320.0,AWD,3985.0,1820.0,1844.0,4.0,57.0
Audi,2900000,2018,35000,Diesel,Automatic,White,First,Individual,1968.0,184.0,380.0,AWD,4385.0,1831.0,1608.0,5.0,64.0
Maruti Suzuki,545000,2017,61518,Petrol,Manual,Red,First,Individual,1197.0,83.0,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0
BMW,2990000,2018,34000,Diesel,Automatic,White,First,Corporate,1995.0,184.0,350.0,RWD,4454.0,2044.0,1545.0,5.0,63.0
Maruti Suzuki,615000,2017,36058,Petrol,Manual,Silver,First,Individual,1197.0,83.0,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0
Hyundai,890000,2016,88000,Diesel,Automatic,Silver,First,Individual,1582.0,126.0,265.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Volkswagen,430000,2015,98112,Petrol,Manual,Brown,First,Individual,1598.0,103.0,153.0,FWD,4384.0,1699.0,1466.0,5.0,55.0
Mercedes-Benz,1650000,2013,58000,Diesel,Automatic,Silver,First,Individual,2143.0,170.0,400.0,RWD,4596.0,1770.0,1447.0,5.0,66.0
Toyota,1599000,2015,92355,Petrol,Automatic,Silver,First,Individual,2494.0,202.0,270.0,FWD,4825.0,1825.0,1480.0,5.0,65.0
Maruti Suzuki,691000,2019,16652,Petrol,Manual,White,First,Individual,1197.0,89.0,113.0,FWD,3995.0,1735.0,1515.0,5.0,37.0
Nissan,650000,2016,76584,Diesel,Manual,White,First,Individual,1461.0,108.0,248.0,FWD,4331.0,1822.0,1671.0,5.0,50.0
Maruti Suzuki,415000,2015,42500,CNG,Manual,Brown,First,Individual,998.0,58.0,77.0,FWD,3599.0,1495.0,1700.0,5.0,35.0
Maruti Suzuki,669000,2016,70000,Diesel,Manual,Grey,First,Individual,1248.0,89.0,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Porsche,16200000,2022,2766,Petrol,Automatic,Blue,First,Individual,2995.0,335.0,450.0,AWD,4931.0,1983.0,1676.0,4.0,75.0
Mercedes-Benz,5100000,2017,56000,Petrol,Automatic,White,Second,Individual,1991.0,241.0,370.0,RWD,4686.0,1810.0,1409.0,4.0,59.0
Hyundai,525000,2015,68766,Petrol,Manual,Silver,First,Individual,1197.0,82.0,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Hyundai,750000,2018,16339,Petrol,Manual,Black,First,Individual,1591.0,121.0,158.0,FWD,4375.0,1700.0,1475.0,5.0,43.0
Honda,445000,2016,63882,Petrol,Manual,Bronze,First,Individual,1198.0,87.0,109.0,FWD,3990.0,1680.0,1505.0,5.0,35.0
Toyota,493000,2012,28732,Petrol,Manual,Silver,First,Individual,1798.0,138.0,173.0,FWD,4540.0,1760.0,1480.0,5.0,55.0
Hyundai,611000,2017,51349,Petrol,Manual,Red,First,Individual,1197.0,82.0,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Hyundai,475000,2014,61866,Petrol,Automatic,White,First,Individual,1197.0,79.0,112.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Hyundai,925000,2017,29401,Petrol,Manual,Grey,First,Individual,1591.0,122.0,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Audi,1325000,2012,98580,Diesel,Automatic,White,First,Individual,1968.0,177.0,380.0,FWD,4915.0,1874.0,1455.0,5.0,65.0
BMW,3900000,2021,8000,Diesel,Automatic,Black,First,Individual,1995.0,184.0,350.0,RWD,4454.0,2044.0,1545.0,5.0,63.0
Mahindra,1299000,2020,31348,Diesel,Manual,White,First,Individual,1497.0,115.0,300.0,FWD,3995.0,1821.0,1627.0,5.0,42.0
Maruti Suzuki,580000,2018,28851,Diesel,Manual,Blue,First,Corporate,1248.0,74.0,190.0,FWD,3840.0,1735.0,1530.0,5.0,37.0
Mahindra,1575000,2021,8519,Petrol,Manual,Blue,First,Individual,1997.0,150.0,300.0,AWD,3985.0,1820.0,1844.0,4.0,57.0
Mercedes-Benz,2250000,2015,48000,Diesel,Automatic,White,First,Individual,2143.0,204.0,500.0,RWD,4879.0,1854.0,1474.0,5.0,80.0
Toyota,1400000,2014,143000,Diesel,Automatic,White,Second,Individual,2982.0,169.0,360.0,RWD,4705.0,1840.0,1850.0,7.0,80.0
Tata,425000,2017,39000,Diesel,Manual,Silver,First,Commercial Registration,1248.0,74.0,190.0,FWD,3995.0,1706.0,1570.0,5.0,44.0
Skoda,425000,2014,24000,Petrol,Automatic,Beige,Second,Individual,1598.0,104.0,153.0,FWD,4386.0,1699.0,1466.0,5.0,55.0
Maruti Suzuki,250000,2015,62000,Petrol,Manual,Maroon,Second,Individual,796.0,47.0,69.0,FWD,3395.0,1490.0,1475.0,5.0,35.0
Maruti Suzuki,425000,2012,78000,Diesel,Manual,White,Second,Individual,1248.0,89.0,200.0,FWD,4265.0,1695.0,1685.0,7.0,45.0
Ford,235000,2014,82000,Diesel,Manual,White,Second,Individual,1399.0,68.0,160.0,FWD,3795.0,1680.0,1427.0,5.0,45.0
Audi,3050000,2020,40910,Diesel,Automatic,White,First,Individual,1968.0,141.0,320.0,FWD,4456.0,1796.0,1416.0,5.0,50.0
Tata,2145000,2020,10290,Diesel,Manual,Red,First,Individual,1956.0,168.0,350.0,FWD,4598.0,1894.0,1706.0,5.0,50.0
Hyundai,1245000,2021,10530,Petrol,Automatic,Red,First,Individual,998.0,118.0,172.0,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,549000,2015,61900,Petrol,Manual,Silver,First,Individual,1197.0,82.0,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Volkswagen,484999,2013,78000,Diesel,Manual,White,Second,Individual,1199.0,74.0,180.0,FWD,3970.0,1682.0,1453.0,5.0,45.0
Maruti Suzuki,415000,2014,57402,Petrol,Manual,Grey,First,Individual,1197.0,85.0,114.0,FWD,3995.0,1695.0,1555.0,5.0,42.0
Hyundai,200000,2013,57000,CNG,Manual,White,First,Individual,1086.0,62.0,96.0,FWD,3565.0,1525.0,1590.0,5.0,35.0
Hyundai,375000,2015,87500,Petrol,Manual,Grey,First,Individual,1197.0,81.0,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Hyundai,1875000,2022,18000,Petrol,Automatic,Black,First,Individual,1353.0,138.0,242.0,FWD,4300.0,1790.0,1635.0,5.0,50.0
Audi,2950000,2020,10700,Petrol,Automatic,White,First,Individual,1984.0,188.0,320.0,AWD,4318.0,1805.0,1548.0,5.0,55.0
Audi,4900000,2018,78000,Diesel,Automatic,Black,First,Individual,2967.0,245.0,600.0,AWD,5052.0,1968.0,1740.0,7.0,75.0
Hyundai,1050000,2020,16282,Petrol,Automatic,White,First,Individual,998.0,118.0,172.0,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,470000,2013,66000,Diesel,Manual,Grey,Third,Individual,1582.0,126.0,260.0,FWD,4370.0,1700.0,1475.0,5.0,43.0
Maruti Suzuki,345000,2017,72019,Petrol,Manual,Silver,Second,Individual,998.0,67.0,90.0,FWD,3599.0,1495.0,1700.0,5.0,35.0
Hyundai,484999,2018,55221,Petrol,Manual,White,First,Individual,1197.0,81.0,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Toyota,3350000,2018,25000,Diesel,Automatic,White,First,Individual,2755.0,174.0,450.0,RWD,4795.0,1855.0,1835.0,7.0,80.0
Audi,5651000,2022,1,Petrol,Automatic,Blue,UnRegistered Car,Individual,1984.0,248.0,370.0,AWD,4663.0,1898.0,1659.0,5.0,70.0
Renault,890000,2020,23500,Petrol,Manual,White,First,Individual,1498.0,105.0,142.0,FWD,4360.0,1822.0,1695.0,5.0,50.0
Maruti Suzuki,325000,2012,68000,Petrol,Manual,White,Second,Individual,1197.0,85.0,114.0,FWD,3995.0,1695.0,1555.0,5.0,42.0
Hyundai,1390000,2019,29096,Petrol,Automatic,White,First,Individual,1591.0,122.0,151.0,FWD,4270.0,1780.0,1665.0,5.0,55.0
Hyundai,459999,2016,61223,Petrol,Manual,White,First,Individual,1197.0,81.0,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Jeep,1075000,2017,86000,Diesel,Manual,White,First,Individual,1956.0,171.0,350.0,FWD,4395.0,1818.0,1640.0,5.0,60.0
Hyundai,484999,2013,87000,Diesel,Manual,White,First,Individual,1582.0,126.0,260.0,FWD,4440.0,1729.0,1475.0,5.0,45.0
Hyundai,385000,2013,79287,Petrol,Manual,White,First,Individual,1197.0,83.0,113.796,FWD,3995.0,1710.0,1505.0,5.0,45.0
Audi,3900000,2018,48945,Diesel,Automatic,Black,First,Corporate,1968.0,190.0,400.0,FWD,4933.0,1874.0,1455.0,5.0,75.0
Mahindra,1050000,2019,17000,Diesel,Manual,Green,First,Individual,1497.0,121.0,300.0,FWD,4585.0,1866.0,1774.0,8.0,45.0
Kia,1575000,2019,55000,Diesel,Manual,Silver,First,Individual,1493.0,113.0,250.0,FWD,4315.0,1800.0,1645.0,5.0,50.0
Maruti Suzuki,655000,2016,38779,Petrol,Manual,Blue,First,Individual,1197.0,83.0,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0
Mercedes-Benz,4500000,2019,72000,Diesel,Automatic,White,First,Individual,1950.0,192.0,400.0,RWD,5063.0,1860.0,1494.0,5.0,80.0
Maruti Suzuki,865000,2016,67000,Diesel,Manual,White,First,Individual,1248.0,89.0,200.0,FWD,4296.0,1695.0,1685.0,7.0,45.0
Hyundai,699000,2017,67000,Petrol,Manual,White,First,Individual,1591.0,121.0,158.0,FWD,4370.0,1700.0,1475.0,5.0,43.0
Hyundai,425000,2012,70000,Diesel,Manual,White,Second,Individual,1582.0,126.0,260.0,FWD,4370.0,1700.0,1475.0,5.0,43.0
Land Rover,6500000,2020,6000,Diesel,Automatic,White,First,Individual,1999.0,177.0,430.0,AWD,4600.0,2069.0,1724.0,7.0,70.0
Toyota,2900000,2017,46000,Diesel,Automatic,White,First,Individual,2755.0,174.0,450.0,RWD,4795.0,1855.0,1835.0,7.0,80.0
Mercedes-Benz,4550000,2017,34000,Diesel,Automatic,Silver,First,Individual,2143.0,201.0,500.0,AWD,4819.0,2141.0,1796.0,5.0,93.0
Hyundai,490000,2015,23103,Petrol,Manual,White,First,Individual,1197.0,81.0,114.0,FWD,3995.0,1660.0,1520.0,5.0,43.0
Mercedes-Benz,11500000,2016,27000,Petrol,Automatic,Blue,First,Individual,4663.0,453.0,700.0,RWD,5453.0,1899.0,1498.0,4.0,70.0
Hyundai,1475000,2019,9576,Petrol,Automatic,White,First,Individual,1591.0,122.0,151.0,FWD,4270.0,1780.0,1665.0,5.0,55.0
MG,1764999,2021,1942,Petrol,Automatic,Red,First,Individual,1498.0,108.0,144.0,FWD,4323.0,1809.0,1650.0,5.0,48.0
Maruti Suzuki,245000,2016,55000,Petrol,Manual,White,First,Individual,796.0,47.0,69.0,FWD,3395.0,1490.0,1475.0,5.0,35.0
Renault,490000,2015,98000,Diesel,Manual,White,Second,Individual,1461.0,84.0,200.0,FWD,4315.0,1822.0,1695.0,5.0,50.0
Hyundai,550000,2017,61400,Petrol,Manual,Grey,First,Individual,1197.0,81.0,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Honda,675000,2016,87693,Petrol,Manual,Red,First,Individual,1497.0,117.0,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
Mercedes-Benz,2225000,2015,31000,Petrol,Automatic,Blue,First,Individual,1991.0,181.0,300.0,RWD,4686.0,1810.0,1442.0,5.0,66.0
Hyundai,560000,2016,75210,Diesel,Manual,White,First,Individual,1396.0,89.0,220.0,FWD,3985.0,1734.0,1505.0,5.0,40.0
Skoda,225000,2012,69000,Petrol,Manual,Silver,First,Individual,1598.0,105.0,153.0,FWD,4000.0,1642.0,1522.0,5.0,45.0
Skoda,499000,2014,88000,Diesel,Automatic,Black,Second,Individual,1498.0,103.0,250.0,FWD,4386.0,1699.0,1466.0,5.0,55.0
Kia,1055000,2020,15000,Petrol,Automatic,Gold,First,Individual,998.0,118.0,172.0,FWD,3995.0,1790.0,1647.0,5.0,45.0
Mahindra,2048999,2020,45350,Diesel,Automatic,White,First,Individual,2179.0,153.0,360.0,FWD,4585.0,1890.0,1785.0,7.0,70.0
BMW,2775000,2018,68189,Diesel,Automatic,Brown,First,Individual,1995.0,188.0,400.0,RWD,4633.0,1811.0,1429.0,5.0,57.0
Mercedes-Benz,1650000,2015,75000,Diesel,Automatic,White,First,Individual,2143.0,134.0,300.0,FWD,4417.0,1804.0,1494.0,5.0,50.0
Audi,1450000,2014,33000,Diesel,Automatic,Red,Second,Individual,1968.0,177.0,380.0,FWD,4915.0,1874.0,1455.0,5.0,65.0
Mahindra,600000,2014,83000,Diesel,Manual,White,Second,Individual,2179.0,120.0,290.0,RWD,4430.0,1817.0,1975.0,8.0,60.0
Toyota,1675000,2014,211000,Diesel,Manual,White,First,Individual,2982.0,169.0,343.0,AWD,4705.0,1840.0,1850.0,7.0,80.0
Hyundai,575000,2015,67000,Petrol,Manual,White,First,Individual,1197.0,82.0,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Ford,699000,2017,75000,Diesel,Manual,Grey,First,Individual,1498.0,99.0,205.0,FWD,3999.0,1765.0,1708.0,5.0,52.0
Audi,2450000,2014,48600,Diesel,Automatic,Blue,Second,Individual,2967.0,241.0,550.0,AWD,5089.0,1983.0,1737.0,6.0,100.0
Mercedes-Benz,2775000,2016,48000,Diesel,Automatic,Black,First,Individual,2143.0,204.0,500.0,RWD,4686.0,1810.0,1442.0,5.0,66.0
Maruti Suzuki,430000,2020,5790,Petrol,Manual,Silver,First,Individual,998.0,67.0,90.0,FWD,3565.0,1520.0,1564.0,5.0,27.0
Mahindra,1165000,2018,32000,Diesel,Manual,White,First,Individual,2179.0,120.0,280.0,RWD,4456.0,1820.0,1995.0,7.0,60.0
MG,1780000,2020,65433,Diesel,Manual,Black,First,Individual,1956.0,169.0,350.0,FWD,4655.0,1835.0,1760.0,5.0,60.0
Maruti Suzuki,495000,2017,38258,Diesel,Manual,White,Second,Individual,1248.0,74.0,190.0,FWD,3840.0,1735.0,1530.0,5.0,37.0
Honda,975000,2019,56881,Petrol,Manual,Silver,First,Individual,1497.0,117.0,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
Renault,425000,2014,72000,Diesel,Manual,White,Second,Individual,1461.0,108.0,248.0,FWD,4315.0,1822.0,1695.0,5.0,50.0
Audi,1350000,2012,72000,Diesel,Automatic,White,UnRegistered Car,Individual,1968.0,174.0,380.0,AWD,4385.0,1831.0,1608.0,5.0,64.0
Volvo,1250000,2013,71141,Diesel,Automatic,Silver,First,Individual,1984.0,150.0,350.0,FWD,4370.0,1783.0,1458.0,5.0,60.0
BMW,5600000,2018,40937,Diesel,Automatic,White,First,Individual,2993.0,258.0,560.0,RWD,4899.0,2094.0,1464.0,5.0,65.0
Maruti Suzuki,560000,2013,37000,Diesel,Manual,Gold,First,Individual,1248.0,74.0,190.0,FWD,3995.0,1695.0,1555.0,5.0,42.0
Mahindra,1221000,2019,46000,Diesel,Manual,White,First,Individual,2179.0,120.0,280.0,RWD,4456.0,1820.0,1995.0,7.0,60.0
Mercedes-Benz,1300000,2012,64800,Petrol,Automatic,Silver,First,Individual,1796.0,186.0,285.0,RWD,4596.0,1770.0,1447.0,5.0,66.0
Hyundai,950000,2016,73000,Diesel,Automatic,Silver,First,Individual,1582.0,126.0,265.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Mercedes-Benz,2682000,2015,76345,Diesel,Automatic,White,First,Individual,2997.0,254.0,619.0,AWD,4804.0,2141.0,1796.0,5.0,70.0
Maruti Suzuki,286000,2017,40564,Petrol,Manual,Silver,First,Individual,796.0,47.0,69.0,FWD,3395.0,1490.0,1475.0,5.0,35.0
Hyundai,340000,2013,98500,Diesel,Manual,Silver,First,Individual,1336.0,89.0,219.744,FWD,3995.0,1710.0,1505.0,5.0,45.0
Skoda,1125000,2020,46807,Petrol,Automatic,Red,First,Individual,999.0,109.0,175.0,FWD,4413.0,1699.0,1466.0,5.0,55.0
