STREET,LT_SHAPE,LND_CNTR,UTLS,LND_SLOPE,BLDG_TYPE,HOUSE_STYLE,OVER_QUAL,RF_STYLE,EXT_QUAL,FNDATN,HEATING,CNTRL_AIR,ELEC,GR_LIV_AREA,FL_BATH,HF_BATH,TTL_RMS_ABV_GRD,FIRE_PLCS,GAR_TYPE,GAR_CARS,PVD_DR,MO_SOLD,SALE_TYPE,SALE_COND,SALE_PRICE
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,1004,1,0,5,1,Attchd,2.0,Y,3,WD ,Normal,149000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1078,1,1,6,1,Attchd,2.0,Y,4,WD ,Normal,149900
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1056,1,0,6,1,Attchd,1.0,Y,7,WD ,Normal,142000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,4,Gable,TA,CBlock,GasA,Y,SBrkr,882,1,0,4,0,Attchd,2.0,Y,4,WD ,Normal,126000
Pave,IR1,Lvl,AllPub,Gtl,TwnhsE,1Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1337,2,0,5,1,Attchd,2.0,Y,6,WD ,Normal,184000
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,987,1,1,5,0,Detchd,1.0,Y,2,COD,Normal,96000
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1092,1,1,6,0,Detchd,1.0,Y,3,WD ,Normal,105500
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,1092,1,1,6,0,Detchd,1.0,Y,3,WD ,Family,88000
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,1Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,1069,2,0,4,1,Attchd,2.0,Y,7,WD ,Normal,127500
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,1456,2,1,6,1,Attchd,2.0,Y,6,WD ,Normal,149900
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,1Story,7,Gable,TA,CBlock,GasA,Y,SBrkr,836,1,0,4,0,Attchd,1.0,Y,6,WD ,Normal,120000
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,1456,2,1,7,1,Attchd,2.0,Y,7,WD ,Normal,146000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,9,Gable,Ex,PConc,GasA,Y,SBrkr,2334,2,1,10,1,Attchd,3.0,Y,1,New,Partial,376162
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1704,2,0,7,1,Attchd,3.0,Y,5,WD ,Normal,306000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,9,Hip,Ex,PConc,GasA,Y,SBrkr,1940,2,1,8,1,Attchd,3.0,Y,4,New,Partial,395192
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1544,2,0,7,0,Attchd,3.0,Y,6,New,Partial,290941
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1541,2,0,7,1,Attchd,2.0,Y,5,New,Partial,220000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,9,Hip,Gd,PConc,GasA,Y,SBrkr,1698,2,0,7,1,Attchd,3.0,Y,6,WD ,Normal,275000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,8,Hip,Gd,PConc,GasA,Y,SBrkr,1822,2,0,8,1,Attchd,3.0,Y,2,WD ,Normal,259000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1535,2,0,7,0,Attchd,2.0,Y,3,WD ,Normal,214000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,9,Hip,Ex,PConc,GasA,Y,SBrkr,2364,2,1,11,2,Attchd,3.0,Y,3,New,Partial,611657
Pave,IR1,Lvl,AllPub,Gtl,TwnhsE,1Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1358,2,0,6,1,Attchd,2.0,Y,6,New,Partial,224000
Pave,Reg,HLS,AllPub,Mod,1Fam,1Story,9,Hip,Ex,PConc,GasA,Y,SBrkr,2696,2,1,10,2,Attchd,3.0,Y,6,WD ,Normal,500000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,2250,2,1,7,1,Attchd,3.0,Y,6,WD ,Normal,320000
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,1Story,9,Hip,Ex,PConc,GasA,Y,SBrkr,1752,2,0,6,1,Attchd,2.0,Y,2,WD ,Normal,319900
Pave,IR1,Lvl,AllPub,Gtl,TwnhsE,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1370,2,0,6,1,Attchd,2.0,Y,4,WD ,Normal,205000
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1626,2,1,6,0,BuiltIn,2.0,Y,6,WD ,Normal,175500
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Gable,Gd,PConc,GasA,Y,SBrkr,1324,2,0,6,0,Attchd,2.0,Y,1,WD ,Normal,199500
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,1Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1145,2,0,6,0,Attchd,2.0,Y,1,WD ,Normal,160000
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1269,2,0,6,1,Attchd,2.0,Y,4,WD ,Normal,192000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,SLvl,7,Gable,Gd,PConc,GasA,Y,SBrkr,1374,2,1,7,1,BuiltIn,2.0,Y,6,WD ,Normal,184500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,Gd,PConc,GasA,Y,SBrkr,1960,2,1,8,2,BuiltIn,2.0,Y,5,WD ,Normal,216500
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1733,2,1,7,1,BuiltIn,2.0,Y,4,WD ,Normal,185088
Pave,IR1,Lvl,AllPub,Gtl,1Fam,SLvl,7,Gable,TA,PConc,GasA,Y,SBrkr,1430,2,1,7,1,BuiltIn,2.0,Y,4,WD ,Normal,180000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,2035,2,1,8,1,BuiltIn,2.0,Y,5,WD ,Normal,222500
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,9,Gable,Gd,PConc,GasA,Y,SBrkr,2599,2,1,10,1,BuiltIn,3.0,Y,5,WD ,Normal,333168
Pave,IR2,Lvl,AllPub,Gtl,1Fam,2Story,8,Hip,Gd,PConc,GasA,Y,SBrkr,2475,2,1,7,1,Attchd,3.0,Y,1,WD ,Normal,355000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,7,Hip,Gd,PConc,GasA,Y,SBrkr,1720,2,0,7,1,Attchd,2.0,Y,3,WD ,Normal,260400
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,2622,2,1,9,2,Attchd,2.0,Y,4,WD ,Normal,325000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,2270,2,1,9,1,Attchd,3.0,Y,4,WD ,Normal,290000
Pave,IR2,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1839,2,1,7,0,Attchd,2.0,Y,6,WD ,Normal,221000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1.5Fin,8,Hip,Gd,PConc,GasA,Y,SBrkr,3238,2,1,9,1,Attchd,3.0,Y,3,WD ,Normal,410000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1595,2,0,6,1,Attchd,3.0,Y,5,WD ,Normal,221500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,7,Hip,Gd,PConc,GasA,Y,SBrkr,1218,2,0,4,0,Attchd,2.0,Y,4,New,Partial,204500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,TA,PConc,GasA,Y,SBrkr,1547,2,1,7,0,Attchd,2.0,Y,6,Con,Normal,215200
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1566,2,0,7,0,Attchd,2.0,Y,4,WD ,Normal,262500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1947,2,1,8,1,Attchd,2.0,Y,5,WD ,Normal,254900
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,6,Gable,Gd,PConc,GasA,Y,SBrkr,1468,2,0,6,1,Attchd,2.0,Y,5,WD ,Normal,271500
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,2084,2,1,8,0,BuiltIn,2.0,Y,1,WD ,Normal,233000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1659,2,1,8,0,Attchd,2.0,Y,4,WD ,Normal,181000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,2110,2,1,8,2,Attchd,2.0,Y,5,WD ,Normal,205000
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,1Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,923,2,0,5,1,Attchd,1.0,Y,5,WD ,Normal,143000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,Gd,PConc,GasA,Y,SBrkr,1845,2,1,8,1,Attchd,2.0,Y,5,WD ,Normal,189000
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,1Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,918,2,0,5,1,Attchd,1.0,Y,4,WD ,Normal,99500
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,1Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,752,1,0,4,0,Attchd,1.0,Y,2,WD ,Normal,125000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1744,2,1,7,0,Attchd,2.0,Y,2,WD ,Normal,194500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,PConc,GasA,Y,SBrkr,1097,2,0,6,0,Attchd,2.0,Y,5,WD ,Normal,152000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,1564,2,1,7,1,Attchd,2.0,Y,4,WD ,Normal,171000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,BrkTil,GasA,N,FuseA,1012,1,0,5,0,Detchd,1.0,Y,4,WD ,Normal,67500
Pave,Reg,Lvl,AllPub,Gtl,Duplex,1.5Fin,6,Gable,TA,Slab,GasA,Y,SBrkr,1902,2,0,8,0,Attchd,2.0,Y,4,WD ,Normal,112000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,SFoyer,5,Gable,TA,CBlock,GasA,Y,SBrkr,1155,1,0,6,0,Detchd,2.0,Y,6,WD ,Normal,148000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,894,1,0,5,1,Detchd,1.0,Y,4,WD ,Normal,138500
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,900,1,0,5,0,Detchd,1.0,Y,2,WD ,Normal,122000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1040,1,1,5,0,Attchd,1.0,Y,6,WD ,Normal,133000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1040,1,1,6,0,Detchd,1.0,Y,4,WD ,Normal,127000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,CBlock,GasA,Y,SBrkr,1494,2,0,7,2,Attchd,2.0,Y,4,WD ,Abnorml,169000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1923,2,1,8,1,Attchd,2.0,Y,6,WD ,Normal,190000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,2349,2,1,9,1,Attchd,3.0,Y,6,WD ,Normal,362500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,2225,2,1,7,1,Attchd,3.0,Y,6,WD ,Normal,285000
Pave,IR1,Lvl,AllPub,Gtl,TwnhsE,1Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1488,2,0,6,1,Attchd,2.0,Y,3,WD ,Normal,260000
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1680,2,1,3,0,Attchd,2.0,Y,1,WD ,Normal,190000
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1200,2,1,4,0,Detchd,2.0,Y,4,ConLD,Normal,155000
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1200,2,1,4,0,Detchd,2.0,Y,6,WD ,Normal,151000
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1200,2,1,4,0,Detchd,2.0,Y,2,WD ,Normal,149500
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,6,Gable,Gd,PConc,GasA,Y,SBrkr,1236,2,1,4,0,Detchd,2.0,Y,5,WD ,Normal,152000
Pave,IR2,Lvl,AllPub,Gtl,1Fam,1Story,7,Gable,Ex,PConc,GasA,Y,SBrkr,1478,2,1,7,1,Attchd,2.0,Y,6,New,Partial,222000
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,6,Gable,Gd,PConc,GasA,Y,SBrkr,1573,2,1,5,0,Detchd,2.0,Y,6,WD ,Normal,177500
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,2Story,6,Gable,Gd,PConc,GasA,Y,SBrkr,1512,2,1,5,0,Detchd,2.0,Y,5,WD ,Normal,177000
Pave,Reg,Lvl,AllPub,Gtl,Twnhs,2Story,7,Hip,Gd,PConc,GasA,Y,SBrkr,1416,2,1,6,0,Detchd,2.0,Y,5,WD ,Normal,155000
Pave,IR1,Lvl,AllPub,Gtl,TwnhsE,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1080,2,1,4,0,Attchd,2.0,Y,6,WD ,Normal,147110
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1418,1,1,6,1,Attchd,3.0,Y,4,New,Partial,267916
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1848,2,1,7,1,Attchd,2.0,Y,4,WD ,Normal,254000
Pave,IR1,Lvl,AllPub,Gtl,TwnhsE,1Story,8,Gable,Gd,CBlock,GasA,Y,SBrkr,788,1,0,3,1,Detchd,2.0,Y,6,WD ,Normal,155000
Pave,IR1,Lvl,AllPub,Gtl,Twnhs,1Story,8,Gable,Gd,CBlock,GasA,Y,SBrkr,1226,1,0,4,1,Attchd,2.0,Y,1,WD ,Normal,206000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,Gd,CBlock,GasA,Y,SBrkr,1479,2,1,6,0,Attchd,2.0,Y,3,WD ,Normal,130500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1492,2,0,6,1,Attchd,2.0,Y,4,WD ,Normal,230000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,CBlock,GasA,Y,SBrkr,1829,2,0,8,0,Attchd,2.0,Y,5,WD ,Normal,218500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,TA,PConc,GasA,Y,SBrkr,2495,2,1,9,1,Attchd,2.0,Y,3,WD ,Normal,243500
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Gable,TA,PConc,GasA,Y,SBrkr,1610,2,0,6,2,Attchd,2.0,Y,2,WD ,Normal,205000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1.5Fin,6,Gable,TA,PConc,GasA,Y,SBrkr,1891,3,0,7,1,Attchd,2.0,Y,4,WD ,Normal,212500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,TA,CBlock,GasA,Y,SBrkr,1714,2,1,7,1,Attchd,2.0,Y,3,WD ,Normal,196500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,CBlock,GasA,Y,SBrkr,1381,1,1,5,1,Attchd,2.0,Y,3,WD ,Normal,197500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,1645,1,2,7,0,Attchd,2.0,Y,6,WD ,Normal,171000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Hip,TA,CBlock,GasA,Y,SBrkr,1232,1,1,6,0,Attchd,2.0,Y,4,WD ,Normal,142250
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,CBlock,GasA,Y,SBrkr,1328,1,1,6,2,Attchd,2.0,Y,6,WD ,Normal,143000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Hip,TA,PConc,GasA,Y,SBrkr,1209,1,0,6,0,Attchd,2.0,Y,4,ConLD,Normal,159000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1510,2,0,6,0,Attchd,2.0,Y,4,WD ,Normal,178900
Pave,IR1,Lvl,AllPub,Gtl,1Fam,SLvl,6,Gable,TA,CBlock,GasA,Y,SBrkr,1775,2,0,8,0,Attchd,2.0,Y,5,COD,Family,136300
Pave,IR1,Lvl,AllPub,Gtl,1Fam,SLvl,5,Hip,TA,PConc,GasA,Y,SBrkr,1152,1,0,6,1,Attchd,2.0,Y,4,WD ,Normal,180500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,SFoyer,6,Gable,TA,PConc,GasA,Y,SBrkr,1054,1,0,6,0,Attchd,2.0,Y,5,WD ,Abnorml,137500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Hip,TA,CBlock,GasA,Y,FuseA,1078,1,0,5,0,Attchd,1.0,Y,4,WD ,Normal,142125
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,Gable,Gd,CBlock,GasA,Y,SBrkr,2461,2,0,7,2,Detchd,2.0,Y,3,WD ,Normal,197600
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1.5Fin,6,Gable,TA,CBlock,GasA,Y,SBrkr,1556,2,0,6,1,Attchd,2.0,Y,1,WD ,Normal,172500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1063,1,0,6,0,Attchd,1.0,Y,2,WD ,Normal,128000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,SLvl,6,Gable,TA,CBlock,GasA,Y,SBrkr,1520,1,0,7,2,Basment,1.0,Y,3,WD ,Normal,153000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,PConc,GasA,Y,SBrkr,1268,1,0,7,1,Attchd,1.0,Y,3,WD ,Normal,132000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,SFoyer,6,Gable,TA,CBlock,GasA,Y,SBrkr,1128,1,0,5,1,Attchd,1.0,Y,1,WD ,Normal,178000
Pave,Reg,Lvl,AllPub,Gtl,Duplex,2Story,5,Gable,TA,CBlock,GasA,Y,FuseA,2274,2,0,12,0,Detchd,2.0,Y,1,WD ,Normal,154300
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,7,Gable,TA,CBlock,GasA,Y,SBrkr,2207,2,0,7,1,Attchd,2.0,Y,7,WD ,Normal,180000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Gable,Gd,CBlock,GasA,Y,SBrkr,1888,2,1,6,1,Attchd,2.0,Y,6,WD ,Normal,190000
Pave,Reg,Lvl,AllPub,Gtl,Duplex,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1604,2,0,8,0,Attchd,2.0,Y,3,WD ,Normal,135000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1480,2,0,7,0,Attchd,2.0,Y,2,WD ,Normal,214000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,5,Hip,TA,CBlock,GasA,Y,SBrkr,1143,1,0,6,0,Attchd,1.0,Y,5,WD ,Normal,136000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,5,Hip,TA,CBlock,GasA,Y,SBrkr,1700,1,1,6,1,Attchd,2.0,Y,4,WD ,Normal,165500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1314,1,0,5,0,Attchd,1.0,Y,6,WD ,Normal,145000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,CBlock,GasA,Y,SBrkr,1194,1,0,6,0,Attchd,1.0,Y,4,WD ,Normal,148000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,5,Hip,TA,CBlock,GasA,Y,SBrkr,1188,1,0,6,0,Attchd,2.0,Y,5,COD,Abnorml,142000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,1264,1,0,6,2,Attchd,2.0,Y,4,WD ,Normal,167500
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,5,Hip,TA,CBlock,GasA,Y,SBrkr,1206,1,0,6,0,Attchd,1.0,Y,5,WD ,Normal,108538
